name,Lists,Vectors,Promises,Environments,External,Other
" Average",3.3384,96.0971,0.4173,0.019,0.0417,0.0855
mandelbrot,0.075,99.6972,0.0609,0.0216,0.0472,0.0969
matmult-large,3.8918,84.1799,3.1852,1.1257,2.4747,5.0819
matmult-large-na,3.8937,84.1783,3.1852,1.1257,2.4746,5.0818
matmult-small-loops,70.39,21.2025,7.9615,0.0574,0.1262,0.2592
matmult-small-op,13.7026,44.2994,11.2147,3.9635,8.713,17.8929
memwaste,0.0121,99.9508,0.0099,0.0035,0.0077,0.0158
paralleldemo,14.2288,43.0659,11.5577,4.132,8.7875,18.0188
"paralleldemo child    1",0.0094,99.9753,0.0033,0.0013,0.0039,0.0068
"paralleldemo child    2",0.0081,99.9796,0.0028,0.0011,0.003,0.0053
"paralleldemo child    3",0.0077,99.9807,0.0027,0.0011,0.0029,0.005
"paralleldemo child    4",0.0066,99.9833,0.0023,0.0009,0.0025,0.0044
